Name,Status,Space Flight (hr)
Joseph M. Acaba,Active,3307
Loren W. Acton,Retired,190
James C. Adamson,Retired,334
Thomas D. Akers,Retired,814
Buzz Aldrin,Retired,289
Andrew M. Allen,Retired,906
Joseph P. Allen,Retired,313
Scott D. Altman,Retired,1236
William A. Anders,Retired,147
Clayton C. Anderson,Retired,4005
Michael P. Anderson,Deceased,594
Dominic A. Antonelli,Active,579
Jerome Apt III ,Retired,847
Lee J. Archambault,Retired,639
Neil A. Armstrong,Deceased,205
Richard R. Arnold II ,Active,307
Jeffrey S. Ashby,Retired,655
Serena M. Aunon,Active,0
James P. Bagian,Retired,337
Ellen S. Baker,Retired,686
Michael A. Baker,Management,965
Michael R. Barratt,Active,5075
Daniel T. Barry,Retired,733
John-David F. Bartoe,Retired,190
Charles A. Bassett II ,Deceased,0
Alan L. Bean,Retired,1671
Robert L. Behnken,Active,708
John E. Blaha,Retired,3861
Michael J. Bloomfield,Retired,779
Guion S. Bluford Jr. ,Retired,689
Karol J. Bobko,Retired,386
Eric A. Boe,Active,687
Charles F. Bolden Jr. ,Management,680
Frank Borman,Retired,477
Stephen G. Bowen,Active,970
Kenneth D. Bowersox,Retired,5078
Charles E. Brady Jr. ,Deceased,405
Vance D. Brand,Retired,752
Daniel C. Brandenstein,Retired,789
Randolph J. Bresnik,Active,259
Roy D. Bridges Jr. ,Retired,190
Curtis L. Brown Jr. ,Retired,1383
David M. Brown,Deceased,382
Mark N. Brown,Retired,249
James F. Buchli,Retired,490
Jay Clark Buckey,Retired,381
John S. Bull,Deceased,0
Daniel C. Burbank,Active,4512
Daniel W. Bursch,Retired,5446
Robert D. Cabana,Management,910
Yvonne D. Cagle,Management,0
Fernando Caldeiro,Deceased,0
Tracy E. Caldwell (Dyson),Active,4531
Charles J. Camarda,Management,333
Kenneth D. Cameron,Retired,562
Duane G. Carey,Retired,262
M. Scott Carpenter,Retired,4
Gerald P. Carr,Retired,2017
Manley Lanier Carter Jr. ,Deceased,120
John H. Casper,Management,825
Christopher J. Cassidy,Active,4376
Robert Cenker,Retired,146
Eugene A. Cernan,Retired,566
Roger B. Chaffee,Deceased,0
Gregory E. Chamitoff,Active,4770
Franklin R. Chang-Diaz,Retired,1602
Philip K. Chapman,Retired,0
Kalpana Chawla,Deceased,734
Leroy Chiao,Retired,5503
Kevin P. Chilton,Retired,700
Laurel B. Clark,Deceased,382
Mary L. Cleave,Retired,262
Michael R. Clifford,Retired,666
Michael L. Coats,Retired,463
Kenneth D. Cockrell,Management,1548
Catherine G. Coleman,Active,4324
Eileen M. Collins,Retired,890
Michael Collins,Retired,266
Charles Conrad Jr. ,Deceased,1179
L. Gordon Cooper Jr. ,Deceased,225
Richard O. Covey,Retired,645
Timothy J. Creamer,Management,3917
John O. Creighton,Retired,404
Robert L. Crippen,Retired,565
Roger K. Crouch,Retired,471
Frank L. Culbertson Jr. ,Retired,3446
Walter Cunningham,Retired,260
Robert L. Curbeam Jr. ,Retired,902
Nancy J. Currie,Management,999
N. Jan Davis,Retired,673
Lawrence J. Delucas,Retired,331
Alvin B. Drew Jr. ,Active,613
Brian Duffy,Retired,977
Charles M. Duke Jr. ,Retired,265
Bonnie J. Dunbar,Retired,1207
Samuel T. Durrance,Retired,614
James P. Dutton Jr. ,Management,362
Joe F. Edwards Jr. ,Retired,211
Donn F. Eisele,Deceased,260
Anthony W. England,Retired,190
Joe H. Engle,Retired,224
Jeanette J. Epps,Active,0
Ronald E. Evans Jr. ,Deceased,301
John M. Fabian,Retired,316
Christopher J. Ferguson,Retired,970
Martin J. Fettman,Retired,336
Andrew J. Feustel,Active,687
E. Michael Fincke,Active,9159
Jack D. Fischer,Active,0
Anna L. Fisher,Management,191
William F. Fisher,Retired,170
C. Michael Foale,Active,8970
Kevin A. Ford,Active,3781
Michael J. Foreman,Management,637
Patrick G. Forrester,Management,950
Michael E. Fossum,Active,4651
Theodore C. Freeman,Deceased,0
Stephen N. Frick,Management,566
C. Gordon Fullerton,Retired,382
F. Andrew Gaffney,Retired,218
Ronald J. Garan Jr. ,Management,4271
Dale A. Gardner,Retired,336
Guy S. Gardner,Retired,320
Jake Garn,Retired,167
Owen K. Garriott,Retired,1674
Charles D. Gemar,Retired,581
Michael L. Gernhardt,Management,1039
Edward G. Gibson,Retired,2017
Robert L. Gibson,Retired,868
Edward G. Givens Jr. ,Deceased,0
John H. Glenn Jr. ,Retired,218
Linda M. Godwin,Retired,918
Michael T. Good,Management,592
Richard F. Gordon Jr. ,Retired,315
Dominic L. Gorie,Retired,1167
Ronald J. Grabe,Retired,627
Duane E. Graveline,Retired,0
Frederick D. Gregory,Retired,455
William G. Gregory,Retired,399
S. David Griggs,Deceased,167
Virgil I. Grissom,Deceased,5
John M. Grunsfeld,Management,1407
Sidney M. Gutierrez,Retired,488
Fred W. Haise Jr. ,Retired,142
